symbol,topic,horizon_h,n,mean_ret,abn_ret,mean_abs_ret,t,tone_hit,tone_n
xyz_XYZ100,fed_macro,4,8,0.001559678247015639,0.0009129636128043352,0.0034774919913037605,0.6635465864431132,0.625,8
NEAR,commodities,1,13,0.0038052968283841357,0.0037682553379426932,0.012961866209788734,0.6615462068875245,0.5384615384615384,13
WLD,commodities,24,13,-0.009036942996566065,-0.008988098752089077,0.037039730439392286,-0.654764928625263,0.46153846153846156,13
xyz_CL,geopolitics,4,8,-0.002181545276867314,-0.0024336126561237846,0.006893406978054406,-0.6401405846258825,0.75,8
ETH,fed_macro,4,8,0.003603517716948265,0.003722261137197383,0.012171050525672203,0.6368963172453527,0.375,8
ZEC,commodities,1,13,0.0033225972453401454,0.0029349506588424116,0.0136615155053873,0.6056110046936041,0.5384615384615384,13
xyz_CL,crypto,4,13,-0.002262260365054238,-0.0025143277443107088,0.007512521039655247,-0.5889465760506732,0.46153846153846156,13
xyz_SILVER,geopolitics,24,8,-0.00544857430909057,-0.008684871575005448,0.019043028279099372,-0.5739999053390219,0.5,8
ETH,commodities,4,13,0.00357327318511673,0.003692016605365848,0.016843343376706805,0.5675034831608871,0.3076923076923077,13
BTC,fed_macro,1,8,0.002090965876680298,0.002142099788062273,0.005989947763998346,0.5666744997962587,0.5,8
BTC,commodities,4,13,0.003003755788200233,0.0032093339081703744,0.012035975334499831,0.5608341537571042,0.38461538461538464,13
xyz_NATGAS,geopolitics,24,8,0.005507295298899012,0.0049943346404003365,0.024064358321130325,0.5547189378975,0.375,8
ZEC,commodities,4,13,0.004903490117224394,0.0033679570824320694,0.026909432298047313,0.5546201230122823,0.38461538461538464,13
xyz_CL,commodities,24,13,-0.010057086471402217,-0.011700130317615003,0.0359359507776643,-0.5408809577094446,0.38461538461538464,13
xyz_CL,geopolitics,24,8,0.0019814849857443806,0.00033844113953159383,0.007848681757572445,0.535507400158299,0.625,8
XRP,commodities,4,13,-0.002906295802714757,-0.002680345272371591,0.01499388596175244,-0.5149834677495168,0.5384615384615384,13
xyz_GOLD,crypto,1,13,0.000507600548535449,0.0004643186897438756,0.0024531849549193673,0.514746367719284,0.3076923076923077,13
xyz_GOLD,geopolitics,4,8,-0.0006424448937394911,-0.0008155763662891981,0.0026676847488287248,-0.5113035186678424,0.625,8
xyz_SP500,fed_macro,4,8,0.0009263282970247283,0.00047273480702480944,0.0030975950080333464,0.5104935224154696,0.5,8
WLD,crypto,24,13,-0.008011976903942543,-0.007963132659465555,0.039406395157082434,-0.5071528639699825,0.6153846153846154,13
BTC,commodities,1,13,0.0011940215986509988,0.001245155510032974,0.005265459371448639,0.4977771705033838,0.6153846153846154,13
xyz_XYZ100,commodities,1,12,0.0005457714016945577,0.0003858840183416809,0.0026455172575759836,0.48736772074058177,0.4166666666666667,12
xyz_BRENTOIL,commodities,24,13,-0.007546711885893927,-0.009151975341960277,0.02987870956048977,-0.4742663260102614,0.46153846153846156,13
xyz_GOLD,geopolitics,1,8,-0.0005907639470321829,-0.0006340458058237564,0.0022774502758534793,-0.46863720806953196,0.375,8
xyz_BRENTOIL,geopolitics,24,8,0.001198342976676245,-0.00040692047939010537,0.0057401606063608585,0.45081035437996764,0.5,8
NEAR,commodities,24,13,0.007589196442783877,0.00652547135893821,0.04582563308694206,0.4507760421392986,0.46153846153846156,13
xyz_GOLD,commodities,1,13,-0.0005908193565630813,-0.0006341012153546548,0.0033882941232187013,-0.44488035468265386,0.38461538461538464,13
xyz_SNDK,commodities,4,12,-0.003517437436279802,-0.012970716306179127,0.02460168150734508,-0.4430114051992837,0.5,12
xyz_MU,fed_macro,4,8,-0.0025241145683181504,-0.007733047637509706,0.013377798410386457,-0.42619394451412884,0.625,8
VVV,commodities,24,13,0.007592904528750755,-0.008035812529138233,0.050948360600775226,0.4153986751798551,0.38461538461538464,13
ZEC,geopolitics,24,8,0.015450606726803637,0.005624116404721113,0.07708787965211457,0.405262236911456,0.375,8
SUI,crypto,24,13,-0.004467445621912933,-0.0016777091939477332,0.03402331010564476,-0.39421776085022214,0.6153846153846154,13
WLD,fed_macro,4,8,0.002164314782662588,0.0021646990926512955,0.012130467724468533,0.39187689756025756,0.375,8
xyz_BRENTOIL,crypto,4,13,-0.0014914406431159044,-0.0017541402087380572,0.00709268806103645,-0.391057675255487,0.3076923076923077,13
HYPE,crypto,1,13,0.001030964700844602,0.0009004178012558662,0.006566010474081034,0.3881957745314989,0.38461538461538464,13
ETH,commodities,1,13,0.0009925913627909938,0.0010222602404211802,0.005908640079065023,0.38132495653464793,0.46153846153846156,13
XRP,crypto,24,13,-0.0029744467866323556,-0.0016041947880074047,0.022199715552781944,-0.3636256536365575,0.5384615384615384,13
XRP,fed_macro,4,8,0.0020436388426669366,0.002269589373010102,0.013475412128709077,0.3558176068134454,0.375,8
XRP,commodities,24,13,0.004222899621911802,0.005593151620536753,0.033446713764343494,0.35196258987143925,0.38461538461538464,13
xyz_MU,geopolitics,1,8,0.0017385954193079728,0.00044564066190411916,0.011621244279591728,0.3421355879160536,0.5,8
VVV,fed_macro,1,8,0.002051937573559967,0.0014007804766143026,0.011760533268390841,0.3346239642404327,0.125,8
xyz_SNDK,commodities,1,12,-0.0013508227002431983,-0.0037161061984706642,0.012222115965460087,-0.3035280589841056,0.5,12
xyz_NATGAS,commodities,1,13,-0.0008885858489398729,-0.000925549226541349,0.007513939148100843,-0.30084437126899916,0.38461538461538464,13
xyz_GOLD,crypto,4,13,-0.0005559238171299544,-0.0007290552896796613,0.004886199167681251,-0.293026427368904,0.46153846153846156,13
HYPE,crypto,24,13,0.004563218566301135,0.001483562642490898,0.03718929087495047,0.2925928045828644,0.38461538461538464,13
HYPE,crypto,4,13,0.0012051788617970516,0.0006961933563975899,0.0104577500719014,0.23564249864364656,0.46153846153846156,13
xyz_SILVER,geopolitics,1,8,0.0009390292225723434,0.0008041829858244592,0.007893062278734084,0.23421791319723131,0.5,8
xyz_GOLD,geopolitics,24,8,0.0006893489343091225,-0.00034084819133498164,0.006438668037117498,0.223255256922335,0.5,8
xyz_CL,commodities,4,13,0.0014452559686604083,0.0011931885894039375,0.01368250073338794,0.2205736129350905,0.6923076923076923,13
HYPE,commodities,1,13,0.0008260968310558849,0.000695549931467149,0.008770534687763325,0.21856677022078075,0.38461538461538464,13
xyz_NATGAS,commodities,24,13,0.0025078582965653274,0.001994897638066652,0.03197811317106969,0.21818996555951384,0.38461538461538464,13
NEAR,crypto,24,13,0.002515095089015664,0.0014513700051699966,0.031039313736016334,0.21424464263693166,0.6153846153846154,13
xyz_BRENTOIL,commodities,4,13,0.0014004501675052722,0.0011377506018831194,0.013563297802973042,0.20783645118807584,0.6923076923076923,13
